GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
transaction-event-processor,com.harpreetsaund.transactioneventprocessor.service,MessageTransformService,0,52,0,0,0,12,0,4,0,4
transaction-event-processor,com.harpreetsaund.transactioneventprocessor.model,Transaction,2,286,2,4,1,61,2,31,0,30
transaction-event-processor,com.harpreetsaund.transactioneventprocessor.config,IntegrationConfig,0,11,0,0,0,4,0,3,0,3
transaction-event-processor,com.harpreetsaund.transactioneventprocessor.config,EnvironmentConfig,0,19,0,0,0,7,0,3,0,3
transaction-event-processor,com.harpreetsaund.transactioneventprocessor.config,OutboundChannelConfig,0,37,0,0,0,10,0,6,0,6
transaction-event-processor,com.harpreetsaund.transactioneventprocessor.config,KafkaConfig,0,23,0,0,0,6,0,5,0,5
transaction-event-processor,com.harpreetsaund.transactioneventprocessor.config,TransactionConfig,0,11,0,0,0,4,0,3,0,3
transaction-event-processor,com.harpreetsaund.transactioneventprocessor.config,InboundChannelConfig,0,97,0,0,0,24,0,7,0,7
transaction-event-processor,com.harpreetsaund.transactioneventprocessor.config,DatasourceConfig,2,34,1,1,0,8,1,3,0,3
transaction-event-processor,com.harpreetsaund.transactioneventprocessor,TransactionEventProcessorApplication,5,3,0,0,2,1,1,1,1,1
transaction-event-processor,com.harpreetsaund.transactioneventprocessor.mapper,TransactionMapper,0,145,0,0,0,30,0,4,0,4
